,Customer Name,Review Title,Rating,Reviews
13,Sherry,👍,5.0 out of 5 stars,"  The phone is a beast (except for the price which is really high as usual), can't wait for it to launch!"
14,shireesha reddy,Apple wont accept the macro defect,1.0 out of 5 stars,  Apple is exploiting people by selling overpriced products.But all iphone 12 pro MAXs are incapable Of taking macro photos this is a known limitationAnd there are threads going on Apple’s website regarding this I don’t know why no one has Reported this issue yet. but Apple is not willing to accept this as a manufacturing defect or a hardware issue and still wont accept it. and it is not fixable through software updates.Apple Support team told me that this is a feature of Apple to 12 pro Max. Not sure how a defect could be feature even 12 pro or any other Chinese phones will be able to take macro photos Apple support still doesn’t accept this as an issue. we need a resolution
15,Ajay Singh,Bad service,1.0 out of 5 stars,  Phone came seal opened
16,Babita,Overheating. 10 min and shuts down. Torch not working and more...,1.0 out of 5 stars,  This phone overheats within 10 min of Whatsapp call. So much that it is hard to keep it in hand. Then it shows phone overheating sign and shuts down. Torch is not working in my phone. It looks old as well. Don’t throw your money because if you talk to customer care they will ask you to go to an Apple store and get some report. This report will then be submitted to Amazon. In COVID times it’s very difficult. Customer support or helpline isn’t working that this store gives. They will ask you to sort this out on your own. Beware.
17,Amazon Customer,Pathetic and not value for money,1.0 out of 5 stars,  The phone has no charger and earphone also it was not mentioned anywhere in your product details. You should not hide these information when u are selling such high value product. Who takes phone without charger?? I would have never purchased this online would have taken it from iPhone store and would have made sure that I get charger . Anywhere in the world a new phone never comes without charger. I bought twice from Dubai and also in Mumbai same apple iPhone and never faced this issue. So I will rate my experience as pathetic and not satisfied.
18,Dr. Amol Andhale,Just excellent,5.0 out of 5 stars,"  Your browser does not support HTML5 video.


   Apple’s latest flagship makes useful advances over its predecessor in almost every way. Image quality is very good, autofocus is lightning fast and accurate, detail is high, and colors are generally pleasant. Apple remains a leader in preview performance, so what you see when composing a shot looks a lot like the final result. Dynamic range could be better, but mobile photographers should be pleased overall.This iPhone’s weakest link is its lack of long zoom capability, something we’re seeing more of in flagships from the competition. If reach is paramount to you, then there are other phones that excel in this metric (but none that run iOS).Video performance overall is excellent, just short of the best we’ve seen. Wide dynamic range, good color, low noise, and effective stabilization make this iPhone a good choice for users who prioritize video capabilities.For mobile photographers committed to the iOS ecosystem and ready to part with the hefty purchase price, the iPhone 12 Pro Max shouldn’t disappoint."
19,Rina,Currently the best phone Apple makes,5.0 out of 5 stars,"  This is the ‘all we can do’ offering of iPhone from Apple in 2020. The phone runs smooth and fast, as expected. A14 Bionic crushes everything you can throw at it with it keeping apps open in the background with zero issues. The battery lasts all day. The camera is amazing and it’s quite a big improvement coming from an iPhone 7 Plus. The screen is vibrant and the speakers sound like a good quality Bluetooth speaker. The pacific blue color is beautiful as well. Looks like grey in certain lighting. However, since this is the biggest iPhone Apple has ever made, I would recommend holding the phone in person before buying as this phone is huge & some people can find it uncomfortable at 6.7 inches. Many people can get 90% of what this phone offers in the smaller 12 Pro. That being said, if you want the biggest screen, the biggest battery on an iPhone and as long as you know what you’re getting into with the size, and you have the money to spend, would recommend this phone 10/10."
20,Puneet,Spending lakhs in defect piece don’t take online,1.0 out of 5 stars,  Defect piece… never buy expensive products from online
21,Prasant,MIND BLOWING,5.0 out of 5 stars,"  Great sound , great display and camera. Mind blowing design .... Superb .....loved it .."
22,Subhojit Misra,Sab ka baap hai,5.0 out of 5 stars,  It is like a best of the best. Camera quality is amazing with raw capture capability. Now i feel lethargic of using my dslr and changing lens. Also can modify raw photos and post it same time using lightroom from iphone. Video quality is best and no other phone can beat it. I am not a gamer so cannot comment on performance from that aspect. But each application runs flawlessly including video editing one.But from price point of view it is tooooooo much. It is like a status statement that yea I am owner of a pro max.Anyway I am happy of my purchase and it is a usefull gadget for sure if one can afford it
23,Vishvendra,Value for kidney,5.0 out of 5 stars,"  Great phone and also lived upto its brand value expectations, although its difficult to live on just 1 kidney but no regrets.😑😑"
24,Biswajit Das,No value of money.,2.0 out of 5 stars,  iPhone just become bad quality day by day. Only good is there IOS. I don’t see any other point to use iPhone if they don’t have IOS.
25,Amazon Customer,Excellent all round performer,5.0 out of 5 stars,"  Well, integration with MacBook Pro. (Apple ecosystem)Highly recommended business phone. (Security and Privacy feature)I am a lifelong Android user, After a thorough review finally decided to go with the Apple iPhone 12 Pro Max instead of Note 20 Ultra"
26,Christopher,in the Apple Store descriptions  it write to support 2 sim card. now only one,3.0 out of 5 stars,  dislike
27,Avesh,"major issue , need replacement",1.0 out of 5 stars,  wifi is not getting disconnected immd after connection. need replacement urgently
28,Sachin mahajan,Worst apple phone ..,1.0 out of 5 stars,  Worst phone by apple.. after 6 months battery goes down quickly.. after some systems updates.. camera photos..are blurry
29,Arsalan,Overpriced,1.0 out of 5 stars,"  Overpriced for nothing. People might get angry at me for saying this, but this is the one of the many reasons why people buy androids instead."
30,Amazon Customer,Defective product,1.0 out of 5 stars,"  Now I know why the seller was seeking the most costliest iPhone at a discount of Rs 10K. The iPhone is defective. The ringer volume just drops automatically to very low sound once a call is received. Sometimes the phone doesn’t even ring. Brand new iPhone, have been using only for the past 3 days. When you spent 1.2 lakhs on a phone and it doesn’t work properly, I kind of feel cheated. Didn’t expect this from seller which is a subsidiary of a company JV of Amazon and Amazon promotes it on its platform as no. 1 seller in India. Real shame and scam"
31,Shawn Milton,It’s a Big Rocket in your Small Pocket 🚀📱,5.0 out of 5 stars,"  Your browser does not support HTML5 video.


   Finally!! Upgraded from iPhone 7 Plus to this BEAST. Big Size, Longer Battery, Impressive Image Quality (specially 4K HDR Video) and the new A14 Bionic Chip is incredibly Fast!!!! Looks beautiful in Pacific Blue. Bought it for ₹1,29,000/- (Storage-256GB)Delivery & Handling- I ordered the device on 1st January and it was arrived on 6th January maybe due to non availability. But the worst part is that when the delivery guy came he could not hold the packet properly and dropped it accidentally on the road but product was packed well nothing went wrong.🙏😅Best iPhone i’ve ever had!!!! 🔥🔥It reminds me of my old iPhone 5S.If you’re still thinking to purchase it, just do it you’ll never regret. ✌️✌️"
32,Vishal Agnihotri,Most luxury defining indulgence in a smartphone ever.,5.0 out of 5 stars,"  Enough has been said already about this phone. There are several reviews out there to help you decide whether or not to get this phone.I’d totally recommend this to anyone out there who’s looking for the best possible investment in a smartphone, considering money’s not an issue.That 1% of people who are going to buy this phone will get their money’s worth over a considerable amount of time.It delivers great real estate in terms of a huge display and bigger battery. Performance wise it’s a beast of a phone, with a much superior processor and chipset than it’s competition and predecessors. Delivering benchmark quality in every single aspect.So yeah, all in all an extremely worthy buy if you can afford that kind of money for a phone. Also, that Pacific Blue finish is by far the most elegant piece of art in a smartphone ever. Takes it to the next level in terms of look and feel. Luxury personified.10/10 recommend if you’ve the pocket to afford it."
33,Abinash Pujahari,Shouldn’t have gone for gold one.,4.0 out of 5 stars,"  The phone is a beast. Slightly overpriced, as always. Please choose colours except gold. Everything else is good. Good camera quality even in low light. Need to test the 4K HDR video recording. Esim is working fine."
34,Souptik Bhattacharyya,THE BEST Phone That Money Can Buy ! (coming from an Android lover),5.0 out of 5 stars,"  We all heard rumors about several stuffs but at the end of the day iPhone 12 Pro Max manages to surprise me every now and then. Be it the built quality, application optimization, display, brightness, smoothness or even battery life. I have switched from Android to iPhone of late and the experience has been pretty good. The more secure platform gives you all that you need, to do serious business. You can do countless number of things on this device if you are features centric or specs oriented. Lastly, the camera module, as you all know, mqnages to deliver highest output if you want. I agree that many devices can have mind boggling numbers, bigger than this iPhone, on paper but having numbers and delivering results are two different aspects of it. If you are willing to spend this much amount of money, reliability factor comes into the picture.I was confused whether to buy Samsung Galaxy S21 Ultra or iPhone 12 Pro Max but at the end, I stick to my decision of buying iPhone 12 Pro Max. One of the very important reason of it being reliable. Buying an android might save you some bucks or even give you access to countless features but you have to think hard if you will be really needing those. I mean, don't get me wrong, we all have our own perspectives but coming from an hardcore Android lover, this opinion of mine should give you some broader view.I know that many think that Apple is little over hyped brand but let me tell you something, it will really amaze you when you actually buy one. This is my first iPhone and I am more than just happy with the product.Lastly, I should add one sentence to this review which is what you are trying to find all over the section.The question coming into your mind right now is if it is worth it.The answer is, absolutely YES ! It surely is WORTH IT.But, you won't know if you have never experienced such stuff. So, go for it if you are thinking hard as I did.Having an iPhone makes a whole lot of difference rather than owning an Android flagship. Android flagships lose their weight the moment next flagship is launched after a year or so, but if you are buying this phone, you can easily stick with it more than 5 years of timeframe or so what the device will start hinting you the moment you touch it.Trust me. I was an Android lover and has regretted previously buying phones those were not.But, the truth is that iPhones are not one of them and iOS is simply better optimized for user experience than Android. It is customer centric and not for business."
35,amitkarir,Absolutely awesome beast of a device,5.0 out of 5 stars,"  Awesome device. Total beast of a phone with a fat price tag but I love it and am totally satisfied, that’s what matters"
36,Sidheswar J.,Nothing for best.,1.0 out of 5 stars,"  Your browser does not support HTML5 video.


   There is nothing that you can like on it."
37,APEXELIN PRIVATE LIMITED,Good but,4.0 out of 5 stars,  Missing lots of feature if you come from Android otherwise good.The simplest review.
38,Jack,First time iphone user review - an Android user’s perspective,5.0 out of 5 stars,"  First impression: Awesome product! I mean the hardware and the overall built quality, screen display, body material etc.Now the pain start when I need to migrate my backup of android phone. Eventually took the help of a paid app to migrate all my Whatsapp content without any hassle. Rest all the photos n videos have been migrated but in random order.Now coming from an android phone, I find that iOS has few limitation in terms of customisation and is very basic. Moreover, a simple process of checking and forwarding a message takes few more steps in iOS than in android, making a simple task complex. This makes me feel iOS is few years behind android in developing its UI. This is the only pain point I m currently facing. Moreover, most of apps that are free in android google play store are paid in apple app store and paid ones are even more costly for iOS.Now the highlight is obviously the camera. So far I have tested few night shots and boy!! am really impressed with the final outcome of the shots. One I have attached here for future buyers’ reference. Portrait shots too are excellent. Ohh!! I forgot to mention about the inbuilt photo editing software of iOS. It has all the basic necessary tools to edit the photos then n there only. Recently, I have learned how to take a dreamy shot of waterfall with a Live camera option. Earlier that type of picture can be taken from a DSLR + ND filters on a tripod with long exposure shot. Now that shot can be taken handheld with this camera and boom!! you can make a dreamy long exposure shot in a matter of a second. Also downloaded few more editing apps such as Adobe PS express and Lightroom, and I can literally forget my DSLR and Laptop for a long time unless I require some heavy creative photography.Lastly, battery life is very good and it lasted me whole day with my heavy uses since I need to check and learn all the time, exploring the possibilities and potential of this beast. Charging too is very fast and 80% can be achieved in 30mins; then it slow down till 100%, which is ok for me. Till date no phone heating issue is observed while charging or during heavy uses. A14 chip works smoothly without any lag or hang as of now though I have not stressed it that far to rightly comment on that matter.Final verdict: Its an amazing product no doubt, but we in India are paying approx 50k more in taxes & duties to buy one if you compare the price outside of India - a pain point for person who looks for value for money product."
39,Yash  Choudhary,Brilliant in all aspects !,5.0 out of 5 stars,  Nothing to dislike!! This thing is a beast..in love with its design it looks perfect in hands !!
40,Kabir Debbarma,Screen should be tougher,4.0 out of 5 stars,"  Round edges of iPhone 11 Pro Max feels much better than the flat edges, and screen doesn’t stay level if one play games on it like call off duty or pubg slight dimples appears on the screen also if one play pubg for more than 20 minutes the handset warms up."
41,vishal kumar,Defect,1.0 out of 5 stars,  The front speaker sounds very low. Why ??
42,Amazon Customer,Excellent,5.0 out of 5 stars,  Amazing machine: beautiful new design: if you can afford then go for it as it gives you a feel of super phone.
43,Sanjiv Bhatnagar,There is no phone like iphone,5.0 out of 5 stars,  One of the best phone ever. Seamless performance no hick ups. Optical zoom is better than most other. Night photos are as good as daytime ones. Battery lasts a day on normal usage without playing games. Optional wireless charger is good n hopefully they will bring the fast charging ones soon. Importantly AppleCare + plan can be purchased within 60days of phone purchase which includes all technical support and damage including glass for two years but plan does not cover loss of phone. Bit pricy but well worth every penny.
44,Prashanth,Not worth the price.,3.0 out of 5 stars,"  I used iPhone for 6 years and in-between for 3 years bought oneplus 6T, trust me iphone are just for craze. Repenting for buying iPhone 12 pro max 128gb which still uses out dated technology and features."
45,Sayantan ✅,Terrific Purchase! But too pricey!!,5.0 out of 5 stars,  The Best iPhone till date ✌️✌️Battery Life is good!Screen is awesome!!Cameras are best in the class!
46,Yashwant Kumar,It’s Smooth and fast,5.0 out of 5 stars,"  Out of Five StarsBattery Life ****Screen ****Performance *****Sound *****Overall 4.5 StarsI have been using iPhone starting from 4s, 5s, 6s, 8 Plus and now iPhone 12 Pro Max. Transition is huge I must say. It’s fairly fast when I compare my 8 plus for obvious reason. Fast charging, battery back up, screen resolution, performance, Camera performance is top notch. I have seen so many reviews on YouTube and everyone kind of liked the phone but there is a very small difference between the performance of all iPhone 12 variants.  Definitely with naked eye comparing the performance is very difficult but for me it make sense because the chipset is same but capability wise every variant is different but still apple managed to match the performance and based on the requirement or specifications people are choosing their own iPhone 12 variant. With the same chipset and various capabilities across the variants the phone does not seem to give any performance issue.Overall my feedback is, definitely this mobile is capable enough but the price is not justified even if I got 14k discount."
47,sujeet mathur,I phone like nothing in this world,5.0 out of 5 stars,  I phone is the best phone
48,Manoj Parekh,Beast phone!,5.0 out of 5 stars,  I have upgraded from iPhone X. There's nothing much you can ask for this phone does it all and its a beast. The screen size slightly felt big for a day or two but I got used to it. Camera on this phone is something which really stands out and also the battery is very good. Easily I get 7 hrs of screen on time. If budget is not a problem it is better to get the pro max than pro variant. Overall its a great upgrade!
49,Amazon Customer,Why Why I do this 😌,4.0 out of 5 stars,"  Why people do this stupid thingsLoL, is that worth it to buy an expensive iphone for only ...!!😂😂😂You understand"
50,Abhishek Poddar,Loved 😍😍,5.0 out of 5 stars,  What a grt phone... superfast speed... camera quality is grt...
51,Amazon Customer,Happy with the purchase.,5.0 out of 5 stars,"  First time using an iPhone. Personally, really enjoying the phone.Display is good, notch is not that bothersome (for me).Battery life is not the best in the market but comfortably lasts a day, day and a half of regular use.Some heating where the cpu is during intensive use, but usually it won’t be a problem.Camera is the best in the business. The photos come out really well if you know your way around the settings. Videos are excellent.Definitely pricier than it should be. But considering the build quality and guaranteed updates, if you take care of it, it’ll comfortably last 5+ years.I personally never had a moment where I went, “Damn I wish I had an android right now” but everyone’s different. This phone is more than good enough for my daily use as a student."
52,Sai Dhruv,"Well, it’s an iPhone.",4.0 out of 5 stars,"  Overall a good phone. Was a bit disappointed with the performance of the ultra wide camera when people are in the scene. I wish it offered a mode to remove the distortion. However, that’s nitpicking. If you want to have some of the cutting edge or the bleeding edge features, there are other brands. But if you want a matured phone with everything as it should be, go for an iPhone."
53,anju v.,Well it’s an iPhone..,5.0 out of 5 stars,"  If you can afford it please go for it.It’s a device which does it for you. Sometimes being provided with too many choices is confusing I felt that’s what is happening with android according to me. iOS is a butter like experience. Within a few weeks of using it I got used to the whole thing it makes your choices amd I like that. And the whole ecosystem is just mind blowing. With an iPad an iwatch airpods and MacBook you actually understand why the whole ecosystem is so addictive. It’s the best thing out there for a commoner, only if it was affordable.Sadly it’s not. There are better products out there that outperforms apple products individually but together the whole ecosystem is no match to any other in my opinion."
54,Midhun Madhusoodhanan,Just wow!!,5.0 out of 5 stars,  Great product.
55,Amazon Customer,Loving this,5.0 out of 5 stars,  Best specs till now
56,joydeep roychowdhury,Excellent phone and phenomenal battery,5.0 out of 5 stars,  The best phone I have used . This is my first iphone and I never liked iphone . But after getting frustrated with battery life multiple androids . I decided to bit the dust and pay money to buy quality phone . And now that I own it . I don't regret it at all . Two days battery with 4 to 5 hours on screen time ( if used moderately) .
57,anufyinglife,👍🏻,5.0 out of 5 stars,  This is really a BEAST of all the smartphones …… using it past 1 month no complaints no issues earlier I’was using IPhone XR but this is ultimate esp. it’s size (which is my requirement actually) + picture 🎥 quality
58,Sumeeth Dollya,Good,4.0 out of 5 stars,"  Your browser does not support HTML5 video.


   Good"
59,Akshay,Best product Bapp of the all phones,5.0 out of 5 stars,  Best battery life dont think about battery life suprb  price is to high but this phone know as bapp of all phones
60,Ajay singh shekhawat,Very poor performance compared to Android,1.0 out of 5 stars,  Very poor performance compared to Android.
61,Amol Borude,The Best phone ever,5.0 out of 5 stars,"  After being used it for more than three months I must say it’s a superb phone, no issues whatsoever till now, I got it at just Rs. 1,25,000/- after adding HDFC and all discounts..though felt a bit expensive, But when it comes to Apple it’s fine.Thank You Amazon, one can blindly trust on Amazon, Just go for it."
62,Amazon Customer,Good but not value for money,3.0 out of 5 stars,  It's price is too high
63,kartheek vardhan,Getting heated.,3.0 out of 5 stars,  Phone is getting heated.
64,Bharath J J,It's the Best on class,5.0 out of 5 stars,  It's Just Mind BlowingThe feel of real old iphone with modren Features
65,anand selvaraj,Best iPhone ever made,5.0 out of 5 stars,  You won’t regret buying this phone.
66,Mayur salunke,Phone has stopped workin,1.0 out of 5 stars,  bought a phone 4 months back and have stopped working
67,Aditya,Just Amazing,5.0 out of 5 stars,  It’s a all in one package. Obviously Apple is charging too much for this phone but it’s totally worth it. It has an amazing battery life and the A14 bionic chip is so optimised  that the battery lasts easily for 1 whole say. The display is amazing. And the cameras… god! What do I say about the amazing photos they capture.! Just Amazing!
68,Deval,The Best Smartphone,5.0 out of 5 stars,  The charm of iPhone to it’s fullest. Camera is great and this build quality  feels so premium.
69,Amol,A magnificent expensive phone,5.0 out of 5 stars,"  Amazing product but miss the fingerprint to unlock, specially during this COVID times.Buttery smooth and flawless . Very good battery life too."
70,Pradeep,After all IPhone 12 Pro max is the costliest phone at present. It has all those thing what we need,5.0 out of 5 stars,"  Phone size is big...but if you have Samsung Note or S- series phones,then there will not a big issue in handling.  As you are spending your hard earned money on IPhone then there should not the thing like “value for money”. By the way phone is good, faster like anything ...after all spending money on costliest phone should have best package."
71,Jyotirdeb,Great buy,5.0 out of 5 stars,  Coming from android I was a bit hesitant at first but I have been using my iPhone for about a month and I can really say that it really was a great buy. The performance is awesome. The software update cycle along with the battery life performance really brings out the feeling of using this device.
72,Manish keshri,Fantastic phone!❤️😍,5.0 out of 5 stars,  Hard look bolte😍😍
73,Mahendra Sindoria,Beast in every aspect.,5.0 out of 5 stars,"  Go for it, you will never regret , if you have budget to take this."
74,Kumar Kartik,Nice Phone but thickness problem,5.0 out of 5 stars,  Great display verry much improved battery camera is as good as DSLR.Gold Colour Is attractive.But the phone’s thickness is so much it should be slim because of that it is harder to hold continuously for long period of time.
75,Sanjan Das,Great phone,5.0 out of 5 stars,  Great phone. Got the Pacific Blue during pre order. Its a little big to hold with one hand and heavy.
76,Bishal Dangol,I am happy,5.0 out of 5 stars,"  It’s damm good, luckily I got it cheaper on Amazon festive . I like Battrey, picture quality and faster. It makes you different status when you have this phone in your hand."
77,kumud ranjan,Awesome as always,5.0 out of 5 stars,  Nothing to say about Apple products... they are awesome ! Just one thing apart.. The Price....
78,Gaurav Singh,Best phone money can buy.,5.0 out of 5 stars,  If u can afford it just go for it.No regrets
79,Rajesh Kumar,Upgradable... don’t think too much,5.0 out of 5 stars,  Extremely ultimate product from Apple ... feeling outstanding 😊
80,DK,Just a big Wooowwww..,5.0 out of 5 stars,"  Little bulky, but looks good. Single habded operation not possible. Prior to this I have been using the iphones. But its a little bigger in size qith good battery backup. Still & motion Picture quality is awesome.."
81,Harika,Legacy bearer,5.0 out of 5 stars,"  Best in the business comes with another classy flagship device which is priced on a higher side (equivalent to high end laptop)Pros: display, battery life, swiftness, performance, camera, screen size (personal choice)Cons: price tag, no adapter, no earphones"
82,Amazon Customer,You won’t be disappointed,5.0 out of 5 stars,"  You won’t be disappointed! Agree that it’s expensive. But it’s worth. Like the way the camera learns, and every aspect of it. I also feel no more reason is required to buy it other than it’s an iPhone 😊"
83,Anil Kumar,"Best of iPhone models, so far!",5.0 out of 5 stars,"  Best of iPhone models, so far!"
84,Amazon Customer,"ONE OF THE BEST GIFTS FROM AMAZON, OTIME DELIVERY",5.0 out of 5 stars,"  PERFECT, KEEP IT UP"
85,Dijangliu P.,🥰,5.0 out of 5 stars,"  Your browser does not support HTML5 video.


   I am in love all over again"
86,Suresh Gupta,Amazing super delivery and secure package,5.0 out of 5 stars,  Really beast really Value for money.. battery 5star
87,chandrasekhar,It’s getting heat while using,2.0 out of 5 stars,  Camera quality is awesome but other features are not upto the mark…it’s getting heat while using the phone
88,Gaurav,Best iPhone ever,5.0 out of 5 stars,  The phone was very expensive but worth it it was the best iPhone infact the best phone ever the camera quality the performance was much better than what l expected truly satisfied with the iPhone  totally value for money
89,ash,Delivered on time,5.0 out of 5 stars,  Good phone delivery on time
90,Sumedh,Overpriced but definitely a gem of a Mobile,5.0 out of 5 stars,  What can I say about the the latest apple flagship. This is the big guy and it doesn't disappoint. The display and Camera are the main highlights. Highly impressed with the low light photography.
91,surjya chutia,Amazing in hand,5.0 out of 5 stars,  Picture quality not good as value of money
92,Manikandan R S,Big beast on the earth!,5.0 out of 5 stars,"  Your browser does not support HTML5 video.


   A biggie which cant be forgotten"
93,Kautilya Tripathi,would recommend,5.0 out of 5 stars,  love every aspect of it. good battery performance and overall performance.
94,Arpit Vishnoi,I'm loving it.,4.0 out of 5 stars,  Very smooth touch. Little heavy but cool. Captures fingerprint and dust very much.Camera not as expected.
95,Miarembam Suresh Sigh,Best iphone ever,5.0 out of 5 stars,  Best iPhone ever. Best screen and camera
96,Arindam B.,Really a awesome experience.,5.0 out of 5 stars,  It will please you by every aspect.
97,Narender Kumar Assudani,Better to purchase iPhone 12 pro max .,5.0 out of 5 stars,  Very nice product although bit costly.
98,Hithesh,iPhone 12proMax graphite 256gb,5.0 out of 5 stars,"  The best iPhone or the best phone till date .The processor speed , camera , many more tech specs make it worth useful.Go for itWorth the money"
99,Bapu,Best phone,5.0 out of 5 stars,  I like the product. Stunning iPhone ever.
100,Ankit Shukla,Good,4.0 out of 5 stars,  Good
101,Gagan,Mast,5.0 out of 5 stars,  Mast
102,Dinesh k s,features are awesome,5.0 out of 5 stars,  Is there anything called DISLIKE???? Its an APPLE and If you dont have an Apple you dont have an APPLE. SImple....
103,sudhakar,Product working is good,4.0 out of 5 stars,  total price 139900 1 January offer is 124900 just for wait for anther 2 months prices 100000 offer
104,sks,Best smartphone money can buy,5.0 out of 5 stars,"  If you can afford it, it is the best smartphone hands down."
105,Heerose,"Apple’s Flagship iphone, Battery backup and display screen are the most amazing features.",5.0 out of 5 stars,"  Apple’s Flagship iphone, Battery backup and display screen are the most amazing features."
106,Savita Sharma,Waste of money,1.0 out of 5 stars,  You have to sell your kedney to buy this phone!! It better you can a cheap phone with same feature
107,Rashmi bisht,Amazing,5.0 out of 5 stars,  Amazing
108,Raj,Awesome product,5.0 out of 5 stars,  Good battery backup and nice camera
109,Nilakantha Majhi,Best iPhone ever...,5.0 out of 5 stars,  Best displayAll day battery with full chargeGood signal qualityAnd best camera for photography 💕💕💕
110,Maximo,Excellent,5.0 out of 5 stars,  Best in line battery life with excellent face id scanner and worth every single penny spent
111,Hariom,Great battery life,5.0 out of 5 stars,  Best iphone ever
112,Manu Handa,Best flagship,5.0 out of 5 stars,  Only for an iPhone fan
113,Amazon Customer,Camera,5.0 out of 5 stars,"  Awesome phone, value for money. I am not into the gaming but for normal use battery life is good enough."
114,Prakashkumar,Magical device,5.0 out of 5 stars,  Excellent phone
115,Anuran Bordoloi,Flagship beast!,5.0 out of 5 stars,  It does not disappoint you in any way.Pros: EverythingCons: Heavy and Sharp Edges
116,Sahil Kasmani,Best Iphone 12pro max,5.0 out of 5 stars,  Ek dam mst phone hai photo to bohot hi ache aate hai best phone in word...😊😊😊
117, Sukhwinder singh,Nyc phone,5.0 out of 5 stars,  Nyccc phone charger not ni box😭😭
118,orbit electrodomestic india pvt ltd,Good,5.0 out of 5 stars,  Good product...works superb...recd on time.
119,Rishabh,Phone is good but battery life is not good,4.0 out of 5 stars,  Battery life is not good. It is not upto the mark.
120,Shree Ram and shyam enterprises,Shree is very nice software,5.0 out of 5 stars,"  Your browser does not support HTML5 video.


   Good battery life andGood 📸"
